見る、診る	check - looky look	みます
ぬるい<br>温い<br>adj	lukewarm
ネクタイ<br><br>n	tie,necktie
ねこ<br>猫<br>n	cat
ねる<br>寝る<br>ru-v	to go to bed,to sleep
～ねん<br>～年<br>	～ years
ノート<br><br>n	notebook,exercise book
のぼる<br>登る<br>u-v	to climb
のみもの<br>飲み物<br>n	drink,beverage
のむ<br>飲む<br>u-v	to drink
のる<br>乗る<br>u-v	to get on,to ride in,to board
は<br>歯<br>n	tooth
パーティー<br><br>n	party
はい<br><br>conj,int	yes
～はい<br>～杯<br>n	counter for cupfuls
はいざら<br>灰皿<br>n	ashtray
はいる<br>入る<br>u-v	to enter,to contain,to hold
はがき<br>葉書<br>n	postcard
履くーはく<br><br>u-v	to wear,to put on (trousers)
はこ<br>箱<br>n	box
はし<br>橋<br>n	bridge
箸ーはし<br><br>n	chopsticks
はじまる<br>始まる<br>u-v,vi	to begin
はじめ<br>初め/始め<br>expr	beginning,start not saisho
はじめて<br>初めて<br>adv,n	for the first time
はしる<br>走る<br>u-v	to run
バス<br><br>n	bus
バター<br><br>n	butter
はたち<br>二十歳<br>n	20 years old,20th year
はたらく<br>働く<br>u-v	to work
はち<br>八<br>num	eight
はつか<br>二十日<br>n	twenty days,twentieth (day of the month)
はな<br>花<br>n	flower
はな<br>鼻<br>n	nose
はなし<br>話<br>n	talk,story
はなす<br>話す<br>u-v	to speak
はは<br>母<br>n	(one's own) mother
はやい<br>早い<br>adj	early
はやい<br>速い<br>adj	quick,fast
はる<br>春<br>n-adv,n-t	springtime
はる<br>貼る<br>u-v	to stick,to paste
はれ<br>晴れ<br>ru-v	clear weather
はれる<br>晴れる<br>ru-v	to be sunny
はん<br>半<br>n-adv,n,n-suf	half
ばん<br>晩<br>n-adv,n-t	evening not yoru
～ばん<br>～番<br>n-adv,n-t	～st/th best
パン<br><br>n	bread
ハンカチ<br><br>n	handkerchief
ばんごう<br>番号<br>n	(telephone) number
ばんごはん<br>晩御飯<br>n	dinner,evening meal
はんぶん<br>半分<br>	half
ひがし<br>東<br>n	east
～ひき<br>～匹<br>	counter for small animals
ひく<br>引く<br>u-v	to pull
ひく<br>弾く<br>u-v	to play (piano, guitar)
ひくい<br>低い<br>adj	short,low
ひこうき<br>飛行機<br>n	aeroplane,airplane
ひだり<br>左<br>n	left hand side
ひと<br>人<br>n	man,person
ひとつ<br>一つ<br>n	one
ひとつき<br>一月<br>	one month
ひとり<br>一人<br>n	one person
ひま<br>暇<br>na-adj,n	free time,leisure
ひゃく<br>百<br>num	100,hundred
びょういん<br>病院<br>n	hospital
びょうき<br>病気<br>n	illness,disease,sickness
ひらがな<br>平仮名<br>n	hiragana
ひる<br>昼<br>n-adv,n-t	noon,daytime
ひるごはん<br>昼御飯<br>n	lunch,midday meal
ひろい<br>広い<br>adj	spacious,wide
フィルム<br><br>n	film (roll of)
ふうとう<br>封筒<br>n	envelope
プール<br><br>n	swimming pool
フォーク<br /><br />n	fork
ふく<br>吹く<br>u-v	to blow (wind, etc)
ふく<br>服<br>n,n-suf	clothes
ふたつ<br>二つ<br>n	two
ぶたにく<br>豚肉<br>n	pork
ふたり<br>二人<br>n	two people
ふつか<br>二日<br>n	second day of the month,two days
ふとい<br>太い<br>adj	fat,thick
ふゆ<br>冬<br>n-adv,n-t	winter
ふる<br>降る<br>u-v	to precipitate,to fall (e.g. rain)
ふるい<br>古い<br>adj	old (not person),aged,ancient
風呂(ふろ)<br><br>n	bath
～ふん<br>～分<br>suf	～minutes
ぶんしょう<br>文章<br><br><br>	sentence,text
ページ<br><br>n	page
へた<br>下手<br>na-adj,n	unskillful,poor
ベッド<br><br>n	bed
ペット<br><br>n	pet
へや<br>部屋<br>n	room
へん<br>辺<br>n	area,vicinity not kinjo
ペン<br><br>n	pen
べんきょう（する）<br>勉強<br>n,vs	study,diligence
べんり<br>便利<br>na-adj,n	convenient,handy
ほう<br><br>	way
ぼうし<br>帽子<br>n	hat
ボールペン<br><br>n	ball-point pen
ほか<br>外<br>n	other place,the rest
ポケット<br><br>n	pocket
ほしい<br>欲しい<br>adj	want,in need of,desire
ポスト<br><br>n	post
ほそい<br>細い<br>adj	thin,slender,fine not komakai
ボタン<br><br>n	button
ホテル<br><br>n	hotel
ほん<br>本<br>n	book
～ほん<br>～本<br>	counter for long cylindrical things
ほんだな<br>本棚<br>n	bookshelves
ほんとう <br><br>adv	reality,truth not 実際
～まい<br>～枚<br>	counter for flat things
まいあさ<br>毎朝<br>n-adv,n-t	every morning
まいげつ/まいつき<br>毎月<br>n-adv,n	every month,monthly
まいしゅう<br>毎週<br>n-adv,n-t	every week
まいにち<br>毎日<br>n-adv,n-t	every day
まいねん/まいとし<br>毎年<br>n-t	every year,annually
まいばん<br>毎晩<br>n-adv,n-t	every night
まえ<br>前<br>n-adv,n-t,suf	before,in front
～まえ<br>～前<br>suf	in front of ～
まがる<br>曲る<br>u-v	to turn,to bend
まずい<br><br>adj	unappetising,unpleasant (taste)
また<br><br>adv,conj,n	again,and
まだ<br><br>adv	yet,still,besides (noch)
まち<br>町<br>n	town,city
まつ<br>待つ<br>u-v	to wait
まっすぐ<br><br>na-adj,adv,n	straight (ahead),direct
マッチ<br><br>n	match
まど<br>窓<br>n	window
まるい<br>丸い/円い<br>adj	round,circular
まん<br>万<br>adv,num	ten thousand,everything
まんねんひつ<br>万年筆<br>n	fountain pen
みがく<br>磨く<br>u-v	to brush (teeth)
みぎ<br>右<br>n	right hand side
みじかい<br>短い<br>adj	short not hikui
みず<br>水<br>n	water
みせ<br>店<br>n,n-suf	store,shop,establishment
みせる<br>見せる<br>ru-v	to show,to display not 示す
みち<br>道<br>n	road,street
みっか<br>三日<br>n	three days,the third day (of the month)
みっつ<br>三つ<br>n	three
みどり<br>緑<br>n	green
みなさん<br>皆さん<br>n	everyone
みなみ<br>南<br>n,vs	South,proceeding south
みみ<br>耳<br>n	ear
みる<br>見る<br>ru-v	to see,to watch
みんな<br><br>adv,n	all,everyone,everybody
むいか<br>六日<br>	six days,sixth (day of month)
むこう<br>向こう<br>n	beyond,over there, opposite side
むずかしい<br>難しい<br>adj	difficult
むっつ<br>六つ<br>num	six
むら<br>村<br>num	village
め<br>目<br>n	eye,eyeball
メートル<br><br>n	metre,meter
めがね<br>眼鏡<br>n	spectacles,glasses
もう<br><br>adv,int	already
もくようび<br>木曜日<br>n-adv,n	Thursday
もしもし<br><br>conj,int	hello (on phone)
もつ<br>持つ<br>u-v	(1) to hold,to carry,(2) to possess
もっと<br><br>adv	more,longer,farther
もの<br>物<br>n	thing,object
もん<br>門<br>n,n-suf	gate
もんだい<br>問題<br>n	problem,question
～や<br>屋<br>n	～ shop not mise
やおや<br>八百屋<br>n	greengrocer
やさい<br>野菜<br>n	vegetable
やさしい<br>易しい<br>adj	easy,plain,simple not kantan
やすい<br>安い<br>adj	cheap,inexpensive
やすみ<br>休み<br>n	rest,vacation,holiday
やすむ<br>休む<br>u-v,vi	to rest,to have a break,to take a day off kunyomi
やっつ<br>八つ<br>num	eight
やま<br>山<br>n	mountain
ゆうがた<br>夕方<br>n-adv,n-t	evening - not ban or ya or yoru
ゆうびんきょく<br>郵便局<br>n	post office
ゆうべ<br>昨夜<br>n	last night
ゆうめい<br>有名<br>na-adj,n	famous
ゆき<br>雪<br>n	snow
ゆっくり・と<br><br>adv,n	slowly,at ease
ようか<br>八日<br>n	eight days,the eighth (day of the month)
ようふく<br>洋服<br>n	Western-style clothes
よく<br><br>adv	frequently,often
よこ<br>横<br>n	beside,side,width
よっか<br>四日<br>n	(1) 4th day of month,(2) four days
よっつ<br>四つ<br>n	four
よぶ<br>呼ぶ<br>u-v	to call out,to invite
よむ<br>読む<br>u-v	to read
よる<br>夜<br>n	evening,night not ban
よわい<br>弱い<br>adj	weak,feable
らいげつ<br>来月<br>n-adv,n-t	next month
らいしゅう<br>来週<br>	next week
らいねん<br>来年<br>n-adv,n-t	next year
ラジオ<br><br>n	radio
ラジカセ<br><br>n	radio cassette player
立派ーりっぱ<br><br>na-adj,n	splendid,fine
りゅうがくせい<br>留学生<br>n	overseas student
りょうしん<br>両親<br>n	parents,both parents
りょうり<br>料理<br>n,vs	cooking,cuisine
りょこう<br>旅行<br>n,vs	travel,trip
れい<br>零<br>n	zero,nought
れいぞうこ<br>冷蔵庫<br>n	refrigerator
レコード<br><br>n	record
レストラン<br><br>n	restaurant
れんしゅう（する）<br>練習<br>n,vs	(to) practice
ろうか<br>廊下<br>n	corridor
ろく<br>六<br>num	six
ワイシャツ<br><br>n	shirt (lit: white shirt),business shirt
わかい<br>若い<br>adj	young
わかる<br>分かる<br>u-v	to understand
わすれる<br>忘れる<br>ru-v	to forget
わたし<br>私<br>adj-no,n	I,myself
わたくし<br>私<br>adj-no,n	I,myself
わたす<br>渡す<br>u-v	to pass over,to hand over
わたる<br>渡る<br>u-v	to cross over,to go across
わるい<br>悪い<br>adj	bad,inferior
激しいーはげしい	violent
体操	gymnastics	たいそう
全体的	on the whole	ぜんたいてき
語る	to speak/talk not hanasu	kataru
不安	anxiety unrest not shinpai	ふあん
疑問	doubt, question, guess not 推測	ぎもん
過去 かこ	past	
正直 ー しょうじき	upright	
祝日 ー しゅくじつ	holiday not 祭り or 休憩	
仲がいい	get on well	なかがいい
博物館	museum	はくぶつかん
進学	enter higher grade	しんがく
寿司ーすし	sushi	
就職試験 ー しゅうしょくしけん	job application exam	
袖 ーそで	sleeve	
散歩	stroll, walk	さんぽ
不幸 ふこう	misfortune	
手術ーしゅじゅつ	operation	
性格ーせいかく	character personality	
照明 ーしょうめい	lamp not 電灯	
結果 ー けっか	result	
流れるーながれる	to flow	
考慮ーこうりょ	consideration	
値するーあたい	to be worth	
世代ーせだい	generation	
超える 越える ー こえる	surpass,exceed,transcend	
直後ーちょくご	immediately after
念を押すーねんをおす	take care, ensure, emphasize	
希望ーきぼう	hope wish aspiration not 要望	
発売ーはつばい	product launch	
つまり	in other words	
事件ーじけん	affair, case	
犯人ーはんにん	culprit, criminal	
刑務所ーけいむしょ	prison	
爆破ーばくは	explosion	
内側ーうちがわ	inside, within	
外側ーそとがわ	outside	
大量ーたいりょう	large quantity	
煙ーけむり	smoke	
経つーたつ	to pass, elapse	
感動するーかんどう	to be deeply moved	
叫ぶーさけぶ	shout	
内容ーないよう	details	
墓地ーぼち	cemetery
現金ーげんきん	cash, ready money
政府ーせいふ	government
秘密ーひみつ	secret
保険ーほけん	insurance
殺人事件ーさつじんじけん	murder case
全くーまったく	completely and utterly
近づくーちかづく	to draw near
逮捕ーたいほ	arrest jukugo (maybe after a dragnet)
手に入れる	obtain, get hold of
交換ーこうかん	exchange (noun jukugo)
冗談ーじょうだん	joke
偶然ーぐうぜん	by accident
手帳ーてちょう	notebook
泥ーどろ	mud
天井ーてんじょ	ceiling
権利ーけんり	right, privilege
居間ーいま	living room
表情ーひょうじょう	expression, countenance
決意ーけつい	determination
不思議ーふしぎ	marvel, mystery, wonder
体調不良ーたいちょうふりょう	poor physical health
獣医ーじゅうい	vet
思い浮かべるーおもいうかべる	to be reminded of
眺めるーながめる	gaze, stare
輝くーかがやく	to glitter
のんびり	carefree, at leisure not 暇
癒すーいやす	heal, cure, soothe
水遣りーみずやり	watering of plants
離れるーはなれる	to be separated, detached not 分かれる
想像ーそうぞう	imagination
枯れるーかれる	wither, mature
気づくーきづく	to notice
絶望ーぜつぼう	despair
乗り越えるーのりこえる	overcome
穏やかーおだやか	calm, gentle, quiet
緩やかーゆるやか	slack, gentle, lenient
腰ーこし	back, hips, waist
拳銃ーけんじゅう	pistol, revolver
収まるーおさまる	to be installed
ぼんやり	faintly
凸凹ーでこぼこ	uneven
速度ーそくど	speed
限るーかぎる	restrict, limit
同時ーどうじ	simultaneous, concurrent
満足ーまんぞく	satisfaction
看板ーかんばん	signboard
街灯ーがいとう	streetlight
猛烈ーもうれつ	violent, like crazy
燃料ーねんりょう	fuel
去るーさる	to go away, leave, sich verpieseln
外れーはずれ	outskirts not 郊外
面積ーめんせき	(surface) area
作動ーさどう	operation, function
居住ーきょじゅう	residence not 住所
宗教的ーしゅうきょうてき	religious, spiritual
整備ーせいび	servicing
新品同様ーしんぴんどうよう	as good as new
弾ーたま	ball, bullet
姿ーすがた	figure, form
要望ーようぼう	demand, request n.
早朝ーそうちょう	early morning
興奮ーこうふん	excitement, arrousal
毒ーどく	poison, spite, abusive language
からかう	tease, ridicule not 苛める
修復ーしゅうふく	repair, return to service jukugo
互いにーたがいに	one another
痛みーいたみ	pain, distress
頭脳ーずのう	brains, intellect
理解ーりかい	understanding, sympathy
確認ーかくにん	confirmation
状態ーじょうたい	condition, situation, circumstances, state not 様子 or 都合 or 具合
恐ろしいーおそろしい	terrible, suprising
疑うーうたがう	to doubt kunyomi
現れるーあらわれる	to appear
我慢ーがまん	patience
曖昧ーあいまい	vague
憤慨ーふんがい	indignation, resentment
印象ーいんしょう	impression
国籍ーこくせき	nationality
種類ーしゅるい	kind, sort, variety, species
文句-もんく	complaint
撃ち殺すーうちころす	to shoot to death
他人ーたにん	another person
滞在ーたいざい	stay (a while somewhere) jukugo
隠すーかくす	to hide, conceal
責任ーせきにん	duty, responsibility
隙間ーすきま	crack, crevice
漏れるーもれる	to leak, escape, shine through
毛布ーもうふ	blanket
ぼやく	to grumble not 呟く
御愁傷様ーごしゅうしょうさま	my condolences
握るーにぎる	to clasp, grasp
現すーあらわす	to reveal
霧ーきり	fog, mist
完全ーかんぜん	perfection, completeness
眩しいーまぶしい	dazzling not 輝く
皮肉ーひにく	sarcasm
果てしないーはてしない	endless
埃ーほこり	dust
素直ーすなお	frank, honest not 正直
振り向くーふりむく	to turn around, look over one's shoulder
失うーうしなう	to lose, part with not 無くす
迫るーせまる	to urge, to approach
微笑ーびしょう	smile
微笑むーほほえむ	to smile
呟くーつぶやく	mutter
覚ますーさます	awaken, sober up
振るーふる	to shake, swing not 揺れる
一瞬ーいっしゅん	a moment, instant
歓迎ーかんげい	welcome, reception
勧めるーすすめる	recommend, advise, offer
革命ーかくめい	revolution
達するーたっする	to reach, attain
貧しいーまずしい	poor, needy not 貧乏
投票ーとうひょう	voting
選挙ーせんきょ	election
気違いーきちがい	madness
鐘ーかね	bell (kanji)
求めるーもとめる	to request, demand
愚かーおろか	foolish
視線ーしせん	glance, line of sight
方角ーほうがく	direction jukugo
延々延びるーえんえんのびる	to stretch endlessly
地平線ーちへいせん	horizon
口調ーくちょう	tone of voice
唸るーうなる	groan moan howl growl
可哀想ーかわいそう	poor, miserable, pathetic
繰り返すーくりかえす	to repeat
迷うーまよう	to lose one's way
指し示すーさししめす	to point to
聴解ーちょうかい	listening comprehension
避けるーさける	to avoid
世紀ーせいき	century
命令ーめいれい	order, command, imperative not 要望	
脇ーわき	armpit, flank, beside
砂利道ーじゃりみち	gravel path
案外ーあんがい	unexpected
実際ーじっさい	reality, practicality
首相ーしゅしょう	prime minister
悟ーさとる	realise
明らかーあきらか	clear, obvious not はっきり
有効性ーゆうこうせい	effectiveness	
避難所ーひなんじょ	place of refuge
変更ーへんこう	change n.( of plan)
快諾ーかいだく	ready, cheerful consent
誤りーあやまり	mistake, not 間違え
役割を果たすーやくわりをはたす	to play a role
推測ーすいそく	guess
俳優ーはいゆう	actor
拳ーこぶし	fist
